fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,itemQuantity,itemRevenue,transactionRevenue,transactionId,eCommerceAction_type
1956307607572137989,Organic Search,1106318,United States,not available in demo dataset,577750000,1,1155,74,,20161117,1479414246,PAGE,,,33980000,,GGOEGAAL010615,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,,,,,5
1915695559996088119,Organic Search,477204,United States,not available in demo dataset,56970000,1,496,14,,20170504,1493954654,PAGE,,,50970000,,GGOEGAAL010616,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Apparel,,,,,5
387146751722649019,Organic Search,3183123,United States,Boston,639220000,1,3245,65,82,20170717,1500317605,PAGE,,,220000000,,GGOEGADJ056815,Google Men's Watershed Full Zip Hoodie Grey,${productitem.product.origCatName},,,,,5
1759779356678951325,Direct,1762949,United States,Chicago,1483630000,1,1827,23,,20161229,1483030095,PAGE,,,199950000,,GGOEGAEJ031313,Google Tri-blend Hoodie Grey,Apparel,,,,,5
3681691345354167550,Referral,1429199,United States,Washington,,,1494,67,,20160810,1470833226,PAGE,,,31990000,,GGOEGAEJ031314,Google Tri-blend Hoodie Grey,(not set),,,,,5
1152867987950849273,Referral,195748,United States,Irvine,97580000,1,399,22,,20170515,1494873477,PAGE,,,89580000,,GGOEGAFB035814,Google Men's  Zip Hoodie,Apparel,,,,,5
8623232734241891055,Organic Search,2331339,United States,not available in demo dataset,200490000,1,2385,60,,20170613,1497407656,PAGE,,,27980000,,GGOEGALB036516,Google Women's Scoop Neck Tee Black,${productitem.product.origCatName},,,,,5
4174685286294595114,Organic Search,2225925,Venezuela,not available in demo dataset,,,2926,105,,20160917,1474131418,PAGE,,,47980000,,GGOEGALJ036413,Google Women's Tee Grey,(not set),,,,,5
1957458976293878100,Display,1061518,United States,not available in demo dataset,,,3576,62,,20170324,1490373732,PAGE,,,474750000,,GGOEGALJ073317,Google Women's Short Sleeve Hero Tee Heather,Apparel,,,,,5
7457632959414021289,Referral,299418,United States,Seattle,75420000,1,325,13,,20170630,1498857134,PAGE,,,10630000,,GGOEGALP034315,Google Women's Vintage Hero Tee Lavender,Apparel,,,,,5
081985686030532619,Direct,2100779,United States,not available in demo dataset,346620000,1,2363,143,,20161209,1481306198,PAGE,,,149980000,,GGOEGAPB058217,Google Women's Lightweight Microfleece Jacket,${productitem.product.origCatName},,,,,5
5540414739780174811,Referral,475022,United States,San Francisco,198510000,1,528,38,,20161122,1479859980,PAGE,,,44790000,,GGOEGAQB036015,Google Women's Fleece Hoodie,Apparel,,,,,5
3052828106337222847,Direct,1949868,United States,not available in demo dataset,14061310000,2,3880,109,62,20170713,1499951313,PAGE,,,771110000,,GGOEGAWN062749,Google Infant Zip Hood Pink,Apparel,,,,,5
0250826361874221555,Referral,235107,United States,Ann Arbor,36190000,1,259,11,,20161005,1475695099,PAGE,,,27190000,,GGOEGAWQ062948,Google Baby Essentials Set,(not set),,,,,5
0968815662109493799,Direct,558079,United States,San Francisco,918520000,1,575,36,,20170618,1497795826,PAGE,,,227880000,,GGOEGAYR068225,Google Youth Short Sleeve Tee Red,Apparel,,,,,5
4754359022938156115,Referral,656354,United States,not available in demo dataset,54160000,1,710,48,,20161017,1476757437,PAGE,,,22380000,,GGOEGBCR024399,Google Lunch Bag,${productitem.product.origCatName},,,,,5
7113011772090059658,Direct,5487883,United States,not available in demo dataset,1709830000,1,5515,70,,20170517,1495083738,PAGE,,,9980000,,GGOEGBJC019999,Collapsible Shopping Bag,Bags,,,,,5
4904370510089389570,Direct,2495919,United States,not available in demo dataset,215950000,1,2554,85,,20160910,1473540459,PAGE,,,29980000,,GGOEGBPB021199,Google Slim Utility Travel Bag,(not set),,,,,5
9264804092676520813,Organic Search,10364127,Venezuela,not available in demo dataset,6239580000,6,12466,323,,20160825,1472130683,PAGE,,,299970000,,GGOEGBRA037499,Waterproof Backpack,(not set),,,,,5
788289060362109435,Referral,351568,United States,Mountain View,532890000,1,367,11,,20161128,1480376963,PAGE,,,527890000,,GGOEGBRB073899,Google Laptop Tech Backpack,Backpacks,,,,,5
8143717296568071992,Referral,969042,United States,New York,121240000,1,998,48,89,20170731,1501546124,PAGE,,,6710000,,GGOEGCNB021099,Seat Pack Organizer,Lifestyle,,,,,5
3681691345354167550,Referral,557568,United States,Washington,146800000,1,587,37,,20160830,1472569309,PAGE,,,8790000,,GGOEGDHC015299,23 oz Wide Mouth Sport Bottle,(not set),,,,,5
8253837683525896717,Direct,1523149,United States,not available in demo dataset,916360000,1,2038,63,59,20170730,1501451230,PAGE,,,29900000,,GGOEGDHC018299,Google 22 oz Water Bottle,Drinkware,,,,,5
6668081558564900297,Direct,2123887,United States,New York,958150000,1,2165,37,,20170328,1490727198,PAGE,,,23900000,,GGOEGDHC018299,Google 22 oz Water Bottle,Drinkware,,,,,5
0092531753747954140,Direct,1830610,United States,not available in demo dataset,,,1846,54,,20170223,1487870374,PAGE,,,37980000,,GGOEGDHC074099,Google 17oz Stainless Steel Sport Bottle,Drinkware,,,,,5
8188700471999583039,Direct,793928,United States,not available in demo dataset,997680000,1,834,24,49,20170731,1501550902,PAGE,,,199920000,,GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,Drinkware,,,,,5
